,Study_ID,Sample_ID,Run_ID,Release_version,Sex,Body_site,Description
0,ERP019566,ERS1474791,ERR1760038,4.0,,foot plantar aspect,control_skin_right
1,ERP019566,ERS1474780,ERR1760027,4.0,,foot plantar aspect,control_skin_right
2,ERP019566,ERS1474511,ERR1759893,4.0,,foot plantar aspect,control_skin_right
3,ERP019566,ERS1474797,ERR1760044,4.0,,foot plantar aspect,control_skin_right
4,ERP019566,ERS1474793,ERR1760040,4.0,,foot plantar aspect,control_skin_right
5,ERP019566,ERS1474566,ERR1759918,4.0,,foot plantar aspect,control_skin_left
6,ERP019566,ERS1474502,ERR1759884,4.0,,foot plantar aspect,control_skin_left
7,ERP019566,ERS1474571,ERR1759923,4.0,,foot plantar aspect,control_skin_left
8,ERP019566,ERS1474573,ERR1759925,4.0,,foot plantar aspect,control_skin_left
9,ERP019566,ERS1474796,ERR1760043,4.0,,foot plantar aspect,control_skin_left
