No,Sex,Body site
0,male ,antecubital crease 
1,male ,antecubital crease 
2,male ,back 
3,male ,back 
4,male ,external auditory canal 
5,male ,external auditory canal 
6,male ,hypothenar palm 
7,male ,hypothenar palm 
8,male ,retroauricular crease 
9,male ,retroauricular crease 
10,male ,toeweb 
11,male ,toeweb 
12,male ,retroauricular crease 
13,male ,retroauricular crease 
14,male ,toeweb 
15,male ,toeweb 
16,male ,antecubital crease 
17,male ,antecubital crease 
18,male ,glabella 
19,male ,glabella 
20,male ,back 
21,male ,back 
22,male ,hypothenar palm 
23,male ,hypothenar palm 
24,male ,inguinal crease 
25,male ,inguinal crease 
26,male ,manubrium 
27,male ,manubrium 
28,male ,occiput 
29,male ,occiput 
30,male ,plantar heel 
31,male ,plantar heel 
32,male ,retroauricular crease 
33,male ,retroauricular crease 
34,male ,toeweb 
35,male ,toeweb 
36,male ,volar forearm 
37,male ,volar forearm 
38,male ,antecubital crease 
39,male ,antecubital crease 
40,male ,antecubital crease 
41,male ,antecubital crease 
42,male ,back 
43,male ,back 
44,male ,external auditory canal 
45,male ,external auditory canal 
46,male ,glabella 
47,male ,glabella 
48,male ,hypothenar palm 
49,male ,hypothenar palm 
50,male ,hypothenar palm 
51,male ,hypothenar palm 
52,male ,inguinal crease 
53,male ,inguinal crease 
54,male ,inguinal crease 
55,male ,inguinal crease 
56,male ,manubrium 
57,male ,manubrium 
58,male ,nare 
59,male ,nare 
60,male ,occiput 
61,male ,occiput 
62,male ,plantar heel 
63,male ,plantar heel 
64,male ,plantar heel 
65,male ,plantar heel 
66,male ,retroauricular crease 
67,male ,retroauricular crease 
68,male ,retroauricular crease 
69,male ,retroauricular crease 
70,male ,toenail 
71,male ,toenail 
72,male ,toeweb 
73,male ,toeweb 
74,male ,toeweb 
75,male ,toeweb 
76,male ,volar forearm 
77,male ,volar forearm 
78,male ,volar forearm 
79,male ,volar forearm 
80,female ,antecubital crease 
81,female ,antecubital crease 
82,female ,antecubital crease 
83,female ,antecubital crease 
84,female ,back 
85,female ,back 
86,female ,external auditory canal 
87,female ,external auditory canal 
88,female ,glabella 
89,female ,glabella 
90,female ,hypothenar palm 
91,female ,hypothenar palm 
92,female ,hypothenar palm 
93,female ,hypothenar palm 
94,female ,inguinal crease 
95,female ,inguinal crease 
96,female ,inguinal crease 
97,female ,inguinal crease 
98,female ,manubrium 
99,female ,manubrium 
100,female ,nare 
101,female ,nare 
102,female ,occiput 
103,female ,occiput 
104,female ,plantar heel 
105,female ,plantar heel 
106,female ,plantar heel 
107,female ,plantar heel 
108,female ,retroauricular crease 
109,female ,retroauricular crease 
110,female ,retroauricular crease 
111,female ,retroauricular crease 
112,female ,toeweb 
113,female ,toeweb 
114,female ,toeweb 
115,female ,toeweb 
116,female ,volar forearm 
117,female ,volar forearm 
118,female ,volar forearm 
119,female ,volar forearm 
120,female ,antecubital crease 
121,female ,antecubital crease 
122,female ,antecubital crease 
123,female ,antecubital crease 
124,female ,volar forearm 
125,female ,volar forearm 
126,female ,volar forearm 
127,female ,volar forearm 
128,female ,inguinal crease 
129,female ,inguinal crease 
130,female ,inguinal crease 
131,female ,inguinal crease 
132,female ,nare 
133,female ,nare 
134,female ,nare 
135,female ,nare 
136,female ,plantar heel 
137,female ,plantar heel 
138,female ,glabella 
139,female ,glabella 
140,female ,plantar heel 
141,female ,plantar heel 
142,female ,back 
143,female ,back 
144,female ,retroauricular crease 
145,female ,retroauricular crease 
146,female ,retroauricular crease 
147,female ,retroauricular crease 
148,female ,manubrium 
149,female ,manubrium 
150,female ,occiput 
151,female ,occiput 
152,female ,toeweb 
153,female ,toeweb 
154,female ,toeweb 
155,female ,toeweb 
156,female ,external auditory canal 
157,female ,external auditory canal 
